FEE	Channel	   Offset	Peaks	       INL	Comment
7	29	   17.5066	5	0.000319123	
7	30	   180.993	5	0.00103175	
7	31	  -37.8795	5	0.000490811	
7	32	   130.568	5	0.000171977	
7	33	  -278.113	5	0.000368034	
7	34	   221.715	5	0.00032255	
7	35	   109.805	5	0.000314148	
7	36	   143.545	5	0.000334806	
7	37	   71.4465	5	0.000408164	
7	38	  -107.667	5	0.000381653	
7	39	  -114.383	5	0.000727317	
7	40	    290.65	5	0.000541495	
7	41	  -22.2126	5	0.000399819	
7	42	   58.6468	5	0.000442591	
7	43	   71.0517	5	0.000890978	
7	44	   506.504	5	0.000483703	
7	45	   21.2833	5	 0.0012073	
7	46	  -118.546	5	0.000443645	
7	47	  -174.763	5	0.000538964	
7	48	  -33.1657	5	0.000503876	
7	49	   212.242	5	0.000555844	
7	50	  -19.3197	5	0.000326327	
7	51	    13.306	5	0.000676477	
7	52	   277.262	5	0.00104618	
7	53	   344.259	5	 0.0010921	
7	54	   185.015	5	0.000800201	
7	55	   276.461	5	0.00135135	
7	56	   118.139	5	0.00418886	
7	57	   19.7983	5	  0.001117	
7	58	   288.188	5	0.00125682	
7	59	   72.1963	5	0.000820695	
7	60	  -113.915	5	0.000820587	
7	61	   61.9458	5	0.00101277	
7	62	   83.1029	5	0.00109079	
7	63	   236.934	5	0.000499381	
7	64	   111.382	5	0.000461691	
8	1	   108.278	5	0.000682512	
8	2	  -95.5187	5	0.00231597	
8	3	  -56.5286	5	0.00166963	
8	4	  -174.161	5	0.000420857	
8	5	   56.3693	5	0.00127692	
8	6	   -172.58	5	0.00117186	
8	7	   47.7452	5	0.000492239	
8	8	   112.473	5	0.00252331	
8	9	   24.7515	5	0.000657694	
8	10	   40.8355	5	0.00041995	
8	11	   102.546	5	0.000696339	
8	12	   249.159	5	0.000595796	
8	13	  -238.814	5	0.000290668	
8	14	  -205.964	5	0.000603425	
8	15	   26.3622	5	0.000274392	
8	16	  -46.3979	5	0.000340468	
8	17	    254.47	5	0.000431878	
8	18	   -44.857	5	0.000327608	
8	19	   71.1914	5	 0.0005313	
8	20	   390.799	5	0.000243455	
8	21	  -68.0571	5	0.000238305	
8	22	    47.887	5	0.000631992	
8	23	   154.105	5	0.000279336	
8	24	   13.4579	5	0.000253276	
8	25	    261.35	5	 0.0002534	
8	26	   191.526	5	0.000349971	
8	27	  -36.2559	5	0.000560864	
8	28	    139.24	5	0.000448855	
